,id,idx,value
0,J6Mdq3n6kgk,"1,14,3,0,13,28,4,77,38,54,6,65,5,51,9,33,31,16,10,2338","0.98946196,0.9060232,0.84246296,0.7022766,0.41353026,0.35398576,0.35288683,0.24065658,0.219988,0.18033409,0.13978353,0.12150207,0.0956446,0.08529916,0.08190251,0.025486382,0.02157678,0.019378947,0.014279759,0.01217164"
,id,idx,value
0,J6Mdq3n6kgk,"1,14,3,0,13,28,4,77,38,54,6,65,5,51,9,33,31,16,10,2338","0.98946196,0.9060232,0.84246296,0.7022766,0.41353026,0.35398576,0.35288683,0.24065658,0.219988,0.18033409,0.13978353,0.12150207,0.0956446,0.08529916,0.08190251,0.025486382,0.02157678,0.019378947,0.014279759,0.01217164"
,id,idx,value
0,J6Mdq3n6kgk,"1,14,3,0,13,28,4,77,38,54,6,65,5,51,9,33,31,16,10,2338","0.9894617,0.90602267,0.8424614,0.70226914,0.41353112,0.3539777,0.35289368,0.24065098,0.21998364,0.18032944,0.1397835,0.12150149,0.095643856,0.08529525,0.08190665,0.025484685,0.021576274,0.019381227,0.014280429,0.012171094"
1,test1,"1,14,3,0,54,6,13,4,28,1107,77,38,65,1189,5,51,16,9,2338,105","0.9836204,0.88994735,0.7428698,0.6059704,0.28778386,0.2101779,0.19751993,0.15675737,0.14486994,0.12738395,0.098647244,0.09396227,0.079433024,0.06659135,0.057351872,0.05270691,0.029390736,0.022156121,0.019044163,0.010366232"
,id,idx,value
0,test,"1,0,3,14,4,38,9,28,13,31,105,16,294,192,2338,6,331,10,5,77","0.97853684,0.963701,0.6344805,0.50693023,0.32315287,0.2642574,0.11732485,0.116013125,0.09780252,0.08107906,0.074536584,0.06380086,0.058134805,0.042250723,0.03260438,0.031868745,0.025750048,0.024459006,0.021409512,0.020379867"
