,entity_lang,entity_txt,entity_ids,sitelinks
144,ar,15 اغسطس,['Q2774'],[207]
145,ar,15 ق م,['Q4101'],[94]
146,ar,15 مايو,['Q2562'],[209]
147,ar,1500,['Q6126'],[153]
148,ar,1506,['Q6154'],[151]
149,ar,1509,['Q6177'],[146]
150,ar,1516,['Q6212'],[144]
151,ar,1517,['Q6263'],[149]
152,ar,1520,['Q6284'],[152]
153,ar,1533,['Q6443'],[150]
154,ar,154 ق م,['Q46911'],[80]
155,ar,155 ق م,['Q46341'],[80]
156,ar,1550,['Q6557'],[148]
157,ar,1564,['Q6632'],[156]
158,ar,1569,['Q6653'],[150]
159,ar,1587,['Q6744'],[144]
160,ar,1593,['Q6772'],[144]
161,ar,1596,['Q6785'],[149]
162,ar,16 (ق م.),['Q41232'],[93]
163,ar,16 (ق. م),['Q41232'],[93]
164,ar,16 (ق. م.),['Q41232'],[93]
165,ar,16 (ق.م),['Q41232'],[93]
166,ar,16 (ق.م.),['Q41232'],[93]
167,ar,16 (قبل الميلاد),['Q41232'],[93]
168,ar,16 تشرين الثاني,['Q3029'],[211]
169,ar,16 ق م,['Q41232'],[93]
170,ar,16 ق م.,['Q41232'],[93]
171,ar,16 ق. م,['Q41232'],[93]
172,ar,16 ق. م.,['Q41232'],[93]
173,ar,16 ق.م,['Q41232'],[93]
174,ar,16 ق.م.,['Q41232'],[93]
175,ar,16 قبل الميلاد,['Q41232'],[93]
176,ar,16 مايو,['Q2574'],[206]
177,ar,16 نوفمبر,['Q3029'],[211]
178,ar,160,['Q24810'],[123]
179,ar,1603,['Q6735'],[154]
180,ar,1606,['Q6747'],[155]
181,ar,1607,['Q6756'],[150]
182,ar,1608,['Q6758'],[153]
183,ar,1615,['Q6784'],[150]
184,ar,1628,['Q6840'],[149]
185,ar,163,['Q30384'],[121]
186,ar,1632,['Q6865'],[155]
187,ar,1640,['Q6901'],[157]
188,ar,1642,['Q6912'],[160]
189,ar,1646,['Q6930'],[157]
190,ar,165 ق م,['Q46563'],[78]
191,ar,1652,['Q6962'],[152]
192,ar,1656,['Q6982'],[155]
193,ar,1666,['Q7585'],[154]
194,ar,1667,['Q7588'],[153]
195,ar,1671,['Q7610'],[148]
196,ar,1674,['Q7620'],[151]
197,ar,1679,['Q7638'],[150]
198,ar,169,['Q30280'],[122]
199,ar,1692,['Q7685'],[154]
200,ar,1699,['Q7710'],[156]
201,ar,17 يناير,['Q2264'],[220]
202,ar,1709,['Q6857'],[162]
203,ar,171 ق م,['Q45454'],[81]
204,ar,1712,['Q6871'],[164]
205,ar,1732,['Q6966'],[165]
206,ar,1741,['Q7573'],[162]
207,ar,1743,['Q7580'],[164]
208,ar,1746,['Q7589'],[167]
209,ar,1748,['Q7600'],[161]
210,ar,1749,['Q7607'],[163]
211,ar,1750,['Q7611'],[166]
212,ar,1752,['Q7618'],[162]
213,ar,1753,['Q7621'],[161]
214,ar,1765,['Q7665'],[164]
215,ar,1770,['Q7683'],[167]
216,ar,1773,['Q7692'],[163]
217,ar,1788,['Q7765'],[168]
218,ar,1789,['Q7772'],[171]
219,ar,1795,['Q7815'],[169]
220,ar,18,['Q38712'],[110]
221,ar,1805,['Q6898'],[171]
222,ar,1808,['Q6914'],[170]
223,ar,181 ق م,['Q46355'],[80]
224,ar,1813,['Q6937'],[173]
225,ar,1821,['Q6976'],[177]
226,ar,183 ق م,['Q44550'],[84]
227,ar,1831,['Q7579'],[174]
228,ar,1832,['Q7584'],[174]
229,ar,1846,['Q7640'],[178]
230,ar,1876,['Q7766'],[175]
231,ar,1880,['Q7806'],[179]
232,ar,1895,['Q7844'],[187]
233,ar,1897,['Q7847'],[186]
234,ar,19 مارس,['Q2424'],[215]
235,ar,1906,['Q2049'],[208]
236,ar,1907,['Q2048'],[203]
237,ar,1909,['Q2057'],[202]
238,ar,1912,['Q2077'],[204]
239,ar,1922,['Q2165'],[206]
240,ar,1926,['Q5259'],[201]
241,ar,1929,['Q18792'],[201]
242,ar,1936,['Q18649'],[203]
243,ar,194,['Q30837'],[121]
244,ar,194 (ق م.),['Q46323'],[83]
245,ar,194 (ق. م),['Q46323'],[83]
246,ar,194 (ق. م.),['Q46323'],[83]
247,ar,194 (ق.م),['Q46323'],[83]
248,ar,194 (ق.م.),['Q46323'],[83]
249,ar,194 (قبل الميلاد),['Q46323'],[83]
250,ar,194 ق م,['Q46323'],[83]
251,ar,194 ق م.,['Q46323'],[83]
252,ar,194 ق. م,['Q46323'],[83]
253,ar,194 ق. م.,['Q46323'],[83]
254,ar,194 ق.م,['Q46323'],[83]
255,ar,194 ق.م.,['Q46323'],[83]
256,ar,194 قبل الميلاد,['Q46323'],[83]
257,ar,1943,['Q18623'],[204]
258,ar,1943 م,['Q18623'],[204]
259,ar,195,['Q33212'],[122]
260,ar,1956,['Q5221'],[205]
261,ar,1965,['Q2650'],[212]
262,ar,1968,['Q2644'],[211]
263,ar,1970,['Q2474'],[203]
264,ar,1971,['Q2475'],[211]
265,ar,1973,['Q2477'],[205]
